ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
2.0,4,10.4,6.7,200
2.0,4,10.6,7.2,209
3.0,6,11.4,7.3,221
3.0,6,11.8,7.9,230
3.0,6,11.7,7.8,228
3.0,6,11.9,8.3,237
2.0,4,10.2,7.0,202
2.0,4,10.6,7.2,209
3.0,6,9.2,6.4,213
3.0,6,11.9,8.0,232
3.0,6,12.5,8.6,246
4.4,8,14.4,9.6,281
4.4,8,15.0,9.8,292
3.0,6,11.9,8.0,232
4.4,8,15.0,9.8,292
4.4,8,14.4,9.6,281
4.4,8,15.0,9.8,292
3.0,6,12.5,8.6,246
4.4,8,15.0,9.8,292
4.4,8,15.0,9.8,292
6.0,12,18.7,11.5,356
3.0,6,9.2,7.1,191
3.0,6,10.5,7.9,214
3.0,6,10.5,7.6,212
4.4,8,15.0,9.8,292
4.4,8,15.0,9.8,292
4.4,8,17.3,11.5,338
4.4,8,16.2,10.9,317
4.4,8,17.3,11.5,338
4.4,8,16.2,10.9,317
4.4,8,17.3,11.5,338
4.4,8,16.2,10.9,317
4.4,8,17.3,11.5,338
4.4,8,16.2,10.9,317
2.0,4,10.6,7.2,209
3.0,6,13.2,8.9,260
2.0,4,11.2,8.5,230
3.0,6,12.6,9.1,253
3.0,6,12.9,8.8,255
4.4,8,16.3,10.9,320
4.4,8,18.1,13.7,370
3.0,6,13.6,9.8,274
4.4,8,16.4,11.3,324
2.0,4,10.8,7.1,209
2.0,4,10.4,6.7,200
3.0,6,13.7,10.1,278
3.0,6,12.7,9.0,253
3.0,6,13.7,10.1,278
3.6,6,14.3,9.9,283
3.6,6,14.6,10.2,290
1.4,4,9.5,7.2,196
1.4,4,10.2,8.0,212
3.6,6,13.7,8.7,264
3.6,6,18.4,12.2,250
3.6,6,13.7,8.9,264
3.6,6,19.4,13.0,264
2.4,4,9.6,6.5,189
2.0,4,11.5,7.9,228
2.0,4,11.6,7.5,225
2.0,4,12.3,8.7,246
2.4,4,9.6,6.5,189
2.0,4,11.5,7.9,228
2.0,4,11.6,7.5,225
2.4,4,11.3,7.4,218
2.0,4,11.3,7.5,221
2.0,4,12.1,7.9,235
2.5,4,10.5,7.2,207
3.6,6,12.8,8.5,251
2.0,4,11.8,8.1,232
3.6,6,13.1,9.0,260
3.6,6,13.2,8.7,258
3.6,6,13.3,9.0,262
2.0,4,11.9,7.9,232
3.6,6,12.9,8.2,248
2.0,4,12.6,8.5,248
3.6,6,13.1,9.0,260
3.6,6,15.1,9.9,294
3.0,6,12.7,8.9,253
3.6,6,13.3,8.9,260
3.0,6,12.8,9.1,255
3.6,6,13.3,9.0,262
6.2,8,19.7,12.9,382
6.2,8,16.7,12.5,340
6.2,8,19.7,12.9,382
6.2,8,16.7,12.5,340
6.2,8,19.7,12.9,382
6.2,8,16.7,12.5,340
6.2,8,17.0,11.8,338
6.2,8,23.3,16.1,322
6.2,8,18.8,13.4,377
6.2,8,25.7,17.8,354
3.6,6,14.3,9.8,283
3.6,6,14.8,10.4,294
3.6,6,13.6,8.6,262
3.6,6,14.0,9.1,271
3.6,6,14.8,9.8,290
3.6,6,13.2,8.7,258
3.6,6,14.2,8.6,269
3.6,6,12.7,7.9,242
6.2,8,15.3,9.8,294
6.2,8,15.0,9.9,292
6.2,8,19.7,12.9,382
6.2,8,16.7,12.5,340
6.2,8,14.9,8.5,276
6.2,8,13.7,8.2,258
1.4,4,9.1,6.3,179
1.4,4,9.1,6.3,179
1.8,4,10.5,6.7,202
1.8,4,9.5,6.5,189
2.0,4,8.7,5.1,192
1.4,4,9.1,6.0,177
1.4,4,8.4,5.6,163
2.4,4,10.5,7.3,209
3.6,6,13.9,9.6,276
3.6,6,18.8,13.1,259
2.4,4,11.5,8.2,230
3.6,6,14.8,9.9,290
3.6,6,19.8,13.6,272
4.3,6,17.1,12.7,347
5.3,8,18.0,13.4,366
5.3,8,23.5,17.7,334
5.3,8,18.3,14.2,380
5.3,8,23.7,18.8,344
5.3,8,18.6,13.9,380
5.3,8,23.9,18.5,344
5.3,8,18.3,14.2,380
5.3,8,25.3,19.3,362
5.3,8,18.6,13.9,380
5.3,8,23.9,18.5,344
5.3,8,18.3,14.2,380
5.3,8,25.3,19.3,362
4.8,8,21.1,14.2,414
6.0,8,21.9,15.0,432
6.0,8,30.0,20.4,411
4.8,8,21.3,14.3,419
6.0,8,22.1,15.0,435
6.0,8,30.2,20.5,413
2.5,4,11.3,7.5,221
3.6,6,12.6,8.2,244
3.6,6,16.7,11.3,229
2.4,4,10.0,7.0,200
2.0,4,11.5,7.9,228
2.5,4,9.3,6.4,184
2.4,4,12.2,8.6,244
2.4,4,11.8,8.3,235
4.3,6,13.4,9.9,271
4.3,6,18.9,14.2,269
5.3,8,14.6,10.3,292
5.3,8,19.5,13.7,270
6.2,8,16.3,11.4,324
4.3,6,14.2,10.6,290
4.3,6,20.0,15.1,285
5.3,8,14.9,10.6,299
5.3,8,19.9,14.2,277
6.2,8,16.4,11.7,329
1.4,4,9.1,6.7,184
1.4,4,8.5,6.2,173
1.8,4,9.6,6.6,191
1.8,4,8.9,6.7,182
1.4,4,9.1,6.7,184
1.4,4,8.5,6.2,172
1.8,4,9.6,6.6,191
1.8,4,8.9,6.7,182
1.4,4,9.4,7.0,191
1.4,4,8.7,7.0,182
1.4,4,9.4,7.0,191
1.4,4,8.7,7.0,182
1.2,4,7.7,6.0,159
1.2,4,7.6,6.0,159
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
3.6,6,14.3,9.9,283
3.6,6,14.6,10.2,290
1.4,4,9.4,7.1,193
1.4,4,9.1,6.8,186
1.4,4,10.0,7.8,207
3.6,6,12.4,7.7,237
2.4,4,11.7,8.2,232
2.4,4,12.9,8.1,246
3.6,6,12.5,8.1,242
3.6,6,17.0,11.2,230
2.4,4,11.2,8.0,225
2.4,4,12.0,7.6,230
3.6,6,12.5,8.1,242
3.6,6,17.0,11.2,230
5.7,8,15.8,9.2,294
3.6,6,12.8,8.6,251
5.7,8,16.1,10.0,308
3.6,6,12.8,8.6,251
3.6,6,17.3,11.7,237
3.6,6,12.4,7.7,237
3.6,6,16.8,10.3,222
6.4,8,16.7,10.3,317
3.6,6,14.1,9.5,276
3.6,6,19.7,13.3,269
2.4,4,11.2,8.0,225
2.4,4,12.0,7.6,230
3.6,6,12.5,8.1,242
3.6,6,17.0,11.2,230
3.6,6,13.2,8.7,258
5.7,8,15.6,10.0,301
5.7,8,15.8,9.2,294
6.4,8,16.8,10.4,320
6.4,8,16.7,10.3,317
3.6,6,13.2,8.7,258
3.6,6,12.4,7.7,237
5.7,8,15.8,9.2,294
3.6,6,12.8,8.6,251
5.7,8,16.1,10.0,308
3.6,6,12.8,8.6,251
3.6,6,17.3,11.7,237
3.6,6,13.2,8.7,258
3.6,6,18.3,12.6,251
3.6,6,12.3,7.6,235
3.6,6,16.8,10.3,222
6.4,8,16.7,10.3,317
2.0,4,9.4,6.5,186
2.4,4,10.1,6.8,198
2.4,4,10.5,6.7,202
2.0,4,9.9,7.0,198
2.0,4,14.2,9.8,195
2.4,4,10.6,7.5,212
2.4,4,10.2,7.0,202
1.4,4,8.4,5.9,168
1.4,4,8.5,5.8,168
5.7,8,17.3,10.8,331
3.6,6,13.9,9.8,278
3.6,6,17.7,13.0,250
3.6,6,13.7,9.4,271
3.6,6,19.2,13.1,264
2.4,4,12.7,9.1,255
3.6,6,14.5,9.9,285
3.6,6,14.2,9.4,276
3.6,6,18.9,12.9,259
1.4,4,8.5,6.9,179
1.4,4,8.5,6.9,179
1.4,4,8.7,6.9,182
1.4,4,7.9,6.3,166
1.4,4,8.5,6.9,179
1.4,4,8.7,6.9,182
1.4,4,7.6,5.9,156
1.4,4,8.5,6.9,179
1.4,4,10.0,7.2,200
1.4,4,9.3,7.2,193
2.0,4,5.6,6.4,138
4.6,8,17.7,14.4,373
4.6,8,24.1,19.2,350
5.4,8,19.3,14.7,396
5.4,8,24.9,19.6,360
4.6,8,18.6,14.6,386
4.6,8,25.5,20.0,368
6.8,10,23.9,17.8,488
5.4,8,20.6,15.5,421
5.4,8,26.7,20.5,382
2.0,4,11.3,7.9,225
3.5,6,12.6,8.7,248
3.5,6,13.3,9.3,264
3.7,6,13.7,10.4,281
1.6,4,10.4,7.4,209
2.0,4,10.9,8.0,221
2.5,4,10.9,7.5,216
1.6,4,10.5,7.9,214
2.0,4,11.2,8.5,230
5.4,8,18.2,13.3,368
5.4,8,24.5,18.0,346
2.0,4,11.8,8.3,235
3.5,6,14.8,10.7,299
3.5,6,13.7,9.7,274
3.5,6,18.3,12.9,254
3.5,6,14.3,10.3,288
3.5,6,18.9,13.9,267
3.5,6,14.5,10.6,292
3.5,6,14.6,10.6,294
6.2,8,18.3,12.9,366
3.5,6,15.9,11.3,317
3.5,6,15.4,11.0,308
6.2,8,20.1,14.4,402
3.7,6,14.0,10.3,283
3.7,6,18.8,13.7,264
3.7,6,14.0,10.3,283
3.7,6,18.8,13.7,264
5.0,8,16.4,12.3,336
5.0,8,22.1,16.7,315
5.0,8,16.4,12.3,336
5.0,8,22.1,16.7,315
3.7,6,15.0,11.4,308
3.7,6,20.2,15.3,288
3.7,6,15.0,11.4,308
3.7,6,20.2,15.3,288
5.0,8,16.8,12.6,343
5.0,8,22.4,17.0,320
5.0,8,16.7,12.5,340
5.0,8,22.4,16.9,318
6.2,8,20.4,15.0,414
1.6,4,8.5,6.5,175
1.6,4,8.6,6.4,175
1.0,4,7.5,5.5,152
1.6,4,8.0,5.8,161
1.6,4,8.9,6.8,184
3.5,6,13.2,9.4,264
3.5,6,13.7,10.2,278
3.5,6,14.8,10.4,294
2.0,4,10.2,7.4,205
2.0,4,8.8,6.4,177
2.0,4,11.7,8.5,165
2.0,4,8.9,6.4,179
2.0,4,11.7,8.5,165
2.0,4,9.1,6.6,184
2.0,4,11.9,8.9,170
2.0,4,8.4,5.8,166
2.0,4,11.6,8.3,162
1.5,4,10.1,6.6,196
1.6,4,9.4,6.4,186
2.0,4,10.5,7.1,207
2.5,4,10.5,7.0,205
1.5,4,9.5,6.3,186
2.0,4,10.9,7.5,216
2.0,4,5.3,5.7,126
3.7,6,12.1,7.8,235
3.7,6,12.7,8.1,244
5.0,8,13.3,9.3,264
5.0,8,15.4,9.4,292
5.8,8,15.9,9.9,304
3.7,6,12.5,8.2,244
2.0,4,10.5,7.3,209
3.5,6,13.7,9.4,271
3.5,6,12.1,8.1,237
3.5,6,17.0,11.1,229
3.5,6,13.0,9.1,258
3.5,6,18.4,12.5,251
1.6,4,10.8,8.0,218
2.5,4,11.3,8.2,228
1.6,4,11.5,8.3,232
2.5,4,11.9,8.5,239
3.6,6,14.3,9.9,283
3.6,6,14.9,10.4,297
4.3,6,17.1,12.7,347
5.3,8,18.0,13.4,366
5.3,8,23.5,17.7,334
5.3,8,18.3,14.2,380
5.3,8,23.7,18.8,344
5.3,8,18.6,13.9,380
5.3,8,23.9,18.5,344
5.3,8,18.3,14.2,380
5.3,8,25.3,19.3,362
5.3,8,18.6,13.9,380
5.3,8,23.9,18.5,344
5.3,8,18.3,14.2,380
5.3,8,25.3,19.3,362
4.8,8,21.1,14.2,414
6.0,8,21.9,15.0,432
6.0,8,30.0,20.4,411
4.8,8,21.3,14.3,419
6.0,8,22.1,15.0,435
6.0,8,30.2,20.5,413
4.3,6,13.4,9.9,271
4.3,6,18.9,14.2,269
5.3,8,14.6,10.3,292
5.3,8,19.5,13.7,270
6.2,8,16.3,11.4,324
4.3,6,14.2,10.6,290
4.3,6,20.0,15.1,285
5.3,8,14.9,10.6,299
5.3,8,19.9,14.2,277
6.2,8,16.4,11.7,329
2.4,4,10.5,7.3,209
3.6,6,13.9,9.6,276
3.6,6,18.8,13.1,259
2.4,4,11.5,8.2,230
3.6,6,14.8,9.9,290
3.6,6,19.8,13.6,272
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
6.2,8,17.0,11.8,338
6.2,8,23.3,16.1,322
6.2,8,18.8,13.4,377
6.2,8,25.7,17.8,354
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
5.3,8,16.0,11.1,317
5.3,8,21.5,14.6,294
2.4,4,9.0,6.6,182
2.4,4,9.1,6.9,186
2.4,4,10.1,6.9,200
3.5,6,11.0,6.8,209
3.5,6,11.4,7.3,221
3.5,6,13.0,8.4,251
2.0,4,4.7,4.9,110
1.8,4,7.9,6.0,161
1.8,4,8.1,6.2,166
1.8,4,8.5,6.6,175
3.5,6,12.5,8.5,246
2.4,4,10.3,7.6,209
2.4,4,10.6,7.9,216
1.5,4,6.6,6.0,145
1.5,4,7.6,6.1,159
1.5,4,8.3,6.5,172
1.5,4,8.3,6.9,177
3.5,6,12.3,8.5,244
3.5,6,13.3,9.3,265
3.5,6,13.9,9.7,276
3.5,6,15.2,11.3,308
1.6,4,8.8,6.3,177
1.6,4,8.7,6.4,177
2.0,4,9.8,7.2,198
2.0,4,9.8,7.0,196
5.0,8,15.7,10.2,304
3.8,6,13.0,8.7,255
3.3,6,13.0,9.1,258
3.3,6,13.3,9.5,267
2.4,4,11.6,8.7,237
2.0,4,12.9,9.7,264
2.4,4,12.5,9.4,255
2.0,4,11.4,7.5,221
2.4,4,9.8,7.0,196
2.4,4,6.5,5.9,143
2.4,4,6.6,5.9,145
2.0,4,10.2,8.2,214
2.0,4,11.4,8.6,232
2.4,4,11.3,8.3,230
2.0,4,11.4,9.3,242
2.4,4,11.6,9.3,244
1.6,4,8.6,6.6,177
1.6,4,9.1,6.7,184
1.6,4,9.9,7.5,202
1.6,4,9.7,7.1,196
3.7,6,12.0,8.0,235
3.7,6,12.6,8.7,248
3.5,6,8.2,6.7,172
3.5,6,8.7,7.5,189
3.7,6,13.3,9.4,265
3.7,6,13.6,9.3,269
3.7,6,14.3,9.8,283
3.7,6,12.9,8.9,255
3.7,6,13.5,9.3,267
3.7,6,12.8,8.9,253
5.6,8,14.5,9.5,283
3.7,6,13.2,9.6,267
5.6,8,15.0,10.2,294
3.5,6,8.0,7.0,175
3.7,6,13.6,9.6,271
3.5,6,11.9,9.0,244
3.5,6,12.3,9.3,253
2.5,4,8.8,8.2,196
3.7,6,14.5,10.7,294
5.0,8,16.6,11.9,334
5.6,8,17.4,12.1,345
3.0,6,11.8,8.4,237
3.0,6,12.2,8.7,244
5.0,8,15.0,10.2,294
2.0,4,12.3,8.2,242
3.0,6,14.7,9.1,281
5.0,8,15.7,10.3,306
5.0,8,21.3,14.1,290
5.0,8,15.7,10.3,306
3.0,6,14.6,9.6,285
5.0,8,15.8,10.2,306
5.0,8,20.6,13.6,280
3.0,6,14.7,9.6,285
5.0,8,15.8,10.2,306
5.0,8,20.6,13.6,280
5.0,8,15.8,10.2,306
5.0,8,15.8,10.2,306
5.0,8,15.1,10.6,301
5.0,8,14.8,9.9,290
5.0,8,15.9,10.9,315
5.0,8,15.6,10.9,310
5.0,8,15.9,10.9,315
5.0,8,15.6,10.9,310
2.4,4,10.9,7.7,218
3.2,6,12.3,8.3,242
2.4,4,11.3,8.3,230
3.2,6,12.5,8.8,248
2.4,4,11.4,8.6,232
3.2,6,12.5,9.1,253
2.4,4,12.1,9.4,251
3.2,6,13.4,9.5,267
2.0,4,11.1,8.3,225
2.0,4,10.2,7.8,209
2.4,4,11.1,8.3,225
2.4,4,10.3,8.3,216
2.4,4,11.4,8.7,235
2.4,4,10.3,8.4,216
2.4,4,11.7,10.3,255
5.7,8,17.3,11.7,340
3.0,6,11.2,8.4,267
3.6,6,13.9,9.8,278
3.6,6,17.7,13.0,250
6.4,8,18.5,12.6,363
2.0,4,11.1,8.3,225
2.0,4,10.2,7.8,209
2.4,4,11.1,8.3,225
2.4,4,10.3,8.3,216
2.4,4,11.4,8.7,235
2.4,4,10.3,8.4,216
2.4,4,11.7,10.3,255
3.6,6,14.1,11.1,294
3.6,6,14.2,11.0,294
3.6,6,14.8,11.7,308
3.6,6,15.0,11.4,308
3.3,6,12.7,8.8,251
1.8,4,9.6,6.6,191
1.8,4,9.3,6.4,184
2.0,4,9.8,6.6,193
2.0,4,9.7,6.8,193
1.6,4,11.1,8.0,223
1.6,4,11.1,8.2,225
2.0,4,9.7,6.8,193
2.0,4,9.8,7.0,196
1.6,4,10.6,7.9,216
1.6,4,10.8,8.1,221
2.0,4,9.6,7.0,193
2.0,4,9.8,7.2,198
2.0,4,11.7,7.6,228
2.4,4,10.2,6.8,200
1.6,4,8.7,6.3,175
1.6,4,8.7,6.4,177
1.6,4,8.5,6.4,175
2.0,4,10.5,7.5,212
2.0,4,10.8,7.4,214
3.5,6,13.7,9.9,276
2.4,4,11.8,8.5,237
3.3,6,12.9,9.5,262
2.4,4,12.3,9.3,253
3.3,6,13.4,9.9,271
1.6,4,9.8,7.9,205
1.6,4,9.9,7.8,207
2.0,4,10.1,7.8,209
2.0,4,9.7,7.8,202
2.4,4,11.4,8.3,230
2.4,4,12.9,9.3,260
2.0,4,12.7,9.7,262
2.4,4,12.0,9.1,246
6.5,12,22.8,12.9,421
5.2,10,18.0,12.8,361
5.2,10,20.6,13.5,400
2.0,4,13.5,9.9,274
3.0,6,16.3,12.4,334
2.0,4,11.3,7.9,225
2.0,4,11.3,7.9,225
5.0,8,18.0,12.2,354
5.0,8,17.2,12.5,347
5.0,8,25.0,16.9,342
3.0,6,14.2,10.2,285
3.0,6,14.2,10.2,285
3.0,6,19.4,14.9,278
5.0,8,17.3,12.2,345
5.0,8,16.6,12.3,338
5.0,8,24.0,16.6,331
3.0,6,14.1,10.1,283
3.0,6,14.1,10.1,283
3.0,6,19.4,14.8,277
5.0,8,18.0,12.2,354
5.0,8,17.2,12.5,347
5.0,8,25.0,16.9,342
1.8,4,5.5,5.8,129
2.5,4,5.8,6.2,138
3.5,6,11.3,7.6,221
3.5,6,12.1,8.3,239
3.5,6,12.5,9.1,253
3.5,6,7.7,7.4,175
4.6,8,15.7,11.8,320
2.5,6,11.2,7.8,223
2.5,6,11.8,8.7,239
2.5,6,11.2,7.8,223
3.5,6,12.2,8.7,244
3.5,6,12.5,9.1,253
3.5,6,12.1,8.7,244
5.0,8,14.6,10.1,290
4.6,8,14.5,9.6,283
4.6,8,15.1,10.3,297
4.6,8,15.1,10.3,297
5.0,8,12.0,10.7,262
5.7,8,18.8,13.6,380
3.5,6,13.3,9.8,269
3.5,6,12.7,9.1,255
3.5,6,7.9,8.6,189
3.5,6,13.7,9.4,271
3.7,6,13.1,9.0,260
3.5,6,14.8,10.4,294
2.0,4,11.5,8.5,235
3.7,6,14.0,9.9,281
3.7,6,13.7,10.4,281
2.0,4,10.5,7.1,207
3.7,6,13.1,9.3,262
2.0,4,6.2,6.4,145
5.4,8,18.2,13.3,368
5.4,8,24.5,18.0,346
3.0,6,15.2,9.6,292
3.0,6,15.2,9.6,292
4.7,8,18.2,11.4,347
4.7,8,18.2,11.7,352
3.8,8,17.6,10.7,334
3.0,6,15.9,9.7,301
2.0,4,8.9,7.3,189
2.0,4,9.0,6.8,184
2.5,4,9.6,7.4,198
2.0,4,9.3,7.6,196
2.5,4,9.8,7.9,205
3.7,6,14.2,10.0,283
3.7,6,14.3,10.6,290
1.5,4,8.4,6.9,177
1.5,4,8.0,6.7,170
2.0,4,7.9,5.7,159
2.0,4,8.0,5.8,161
2.5,4,8.4,6.1,170
2.5,4,8.3,6.1,168
2.0,4,8.0,5.8,161
2.0,4,8.0,5.9,163
2.0,4,8.2,5.9,166
2.5,4,8.7,6.5,177
2.5,4,8.2,6.1,168
2.0,4,8.2,5.9,166
2.5,4,10.8,8.4,223
2.5,4,11.1,8.3,225
2.5,4,8.8,6.2,175
2.5,4,9.4,6.4,186
2.5,4,8.4,5.9,168
2.0,4,11.5,8.5,235
2.0,4,10.5,8.5,221
2.0,4,11.1,8.4,228
2.0,4,9.2,6.6,184
1.8,4,10.9,7.5,216
1.8,4,11.0,7.4,216
3.5,6,12.2,8.5,242
3.5,6,16.4,11.1,224
3.5,6,12.0,8.6,242
3.5,6,11.9,8.6,239
3.5,6,12.1,8.7,244
3.5,6,12.1,8.6,242
6.2,8,17.7,11.9,347
6.2,8,17.9,12.2,352
4.7,8,15.4,10.4,304
5.5,8,15.4,11.0,308
2.0,4,9.1,6.2,179
2.0,4,10.3,7.8,212
4.7,8,13.3,9.4,264
5.5,8,15.1,10.7,301
5.5,8,15.1,10.7,301
2.1,4,8.5,5.7,194
3.5,6,11.8,8.2,235
3.5,6,11.6,8.1,230
3.5,6,11.9,8.5,239
3.5,6,12.1,8.6,242
3.5,6,12.0,8.5,239
3.5,6,11.9,8.2,235
3.5,6,9.6,7.9,202
4.7,8,13.6,9.1,267
4.7,8,13.7,9.3,269
4.7,8,13.4,8.9,262
5.5,8,15.0,10.3,297
5.5,8,15.5,11.0,310
5.5,8,15.0,10.3,297
5.5,8,15.5,11.0,310
5.5,8,20.0,15.9,419
5.5,8,19.4,15.7,407
3.0,6,13.4,10.2,324
4.7,8,17.1,12.8,350
4.7,8,17.6,13.1,359
5.5,8,17.7,13.4,363
2.1,4,9.6,7.1,230
3.5,6,12.6,9.6,260
3.5,6,13.4,10.5,278
3.5,6,17.8,13.8,256
3.0,6,11.8,8.5,278
4.7,8,16.2,11.8,327
5.5,8,17.2,13.5,356
4.7,8,14.3,9.5,278
4.7,8,14.2,9.4,276
5.5,8,15.6,10.3,304
4.7,8,13.4,9.6,269
5.5,8,14.8,10.2,292
6.0,8,16.7,11.2,327
1.8,4,10.3,7.2,205
1.8,4,10.4,7.3,207
3.5,6,11.1,8.1,225
5.5,8,12.3,8.7,246
6.2,8,18.7,13.9,380
6.2,8,18.2,12.6,361
6.2,8,18.2,12.6,361
1.6,4,8.7,6.6,179
1.6,4,8.6,6.8,179
1.6,4,8.7,6.6,179
1.6,4,8.6,6.8,179
1.6,4,9.4,7.9,200
1.6,4,8.6,6.8,179
1.6,4,8.5,6.6,175
1.6,4,8.0,6.4,168
1.6,4,9.4,7.9,200
1.6,4,8.6,6.8,179
1.6,4,8.7,6.6,179
1.6,4,8.6,6.8,179
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,10.0,7.8,207
1.6,4,9.3,7.5,196
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,10.0,7.8,207
1.6,4,9.3,7.5,196
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,10.0,7.8,207
1.6,4,9.3,7.5,196
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
1.6,4,10.0,7.8,207
1.6,4,9.3,7.5,196
1.6,4,9.3,7.0,191
1.6,4,9.1,6.7,184
2.0,4,9.2,7.0,189
2.0,4,9.6,6.8,191
2.4,4,10.5,8.2,218
2.0,4,14.2,10.5,288
2.0,4,14.0,10.3,283
2.0,4,13.4,9.4,267
2.0,4,9.6,7.3,198
2.0,4,9.8,7.1,198
1.2,3,6.4,5.4,138
1.2,3,7.0,5.6,147
2.4,4,9.5,7.5,198
2.4,4,9.9,8.1,209
3.0,6,11.5,8.5,235
2.0,4,9.6,7.6,200
2.0,4,9.9,7.5,202
2.0,4,9.8,8.0,207
3.7,6,12.6,9.1,253
3.7,6,13.3,9.3,264
3.7,6,13.0,9.5,262
3.7,6,13.5,9.6,269
2.5,4,8.7,6.2,175
3.5,6,10.8,7.4,214
5.6,8,19.1,13.4,380
2.5,4,13.7,10.6,283
2.5,4,12.2,10.2,260
4.0,6,14.7,10.2,292
4.0,6,15.7,11.2,315
4.0,6,14.8,11.0,301
3.8,6,14.5,10.9,297
1.6,4,8.7,7.3,186
1.6,4,9.5,7.6,198
1.6,4,9.3,7.9,200
3.5,6,12.3,9.1,251
3.5,6,13.2,10.1,271
2.0,4,10.0,8.5,214
3.5,6,12.0,8.9,244
3.5,6,12.3,9.3,253
2.5,4,9.1,8.5,202
3.5,6,12.5,9.5,255
2.5,4,9.2,7.2,191
2.5,4,9.5,7.4,198
1.8,4,7.8,6.0,161
1.8,4,8.7,6.6,179
5.6,8,17.9,12.8,359
5.6,8,19.7,14.3,398
1.6,4,7.2,5.8,152
1.6,4,8.6,6.5,177
4.0,6,16.1,11.9,327
4.0,6,15.2,11.9,315
3.4,6,11.6,8.3,232
3.4,6,12.5,8.6,246
