Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,15-0000,Computer and Mathematical Occupations,265840,105370,97410,58750,128680
1,36,New York State,15-1211,Computer Systems Analysts,35890,113400,104260,68280,135960
1,36,New York State,15-1212,Information Security Analysts,6450,128470,123100,77650,153890
1,36,New York State,15-1221,Computer and Information Research Scientists,960,140990,137310,88370,167300
1,36,New York State,15-1231,Computer Network Support Specialists,12170,80690,75760,50100,95980
1,36,New York State,15-1232,Computer User Support Specialists,40460,63660,59740,40370,75300
1,36,New York State,15-1241,Computer Network Architects,8850,129070,125600,79930,153640
1,36,New York State,15-1244,Network and Computer Systems Administrators,24080,101470,96040,66390,119020
1,36,New York State,15-1245,Database Administrators and Architects,8280,111990,106370,63650,136150
1,36,New York State,15-1251,Computer Programmers,12910,93140,86250,56500,111470
1,36,New York State,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,83330,124790,120300,78250,148060
1,36,New York State,15-1257,Web Developers and Digital Interface Designers,12950,85820,78000,49070,104190
1,36,New York State,15-1299,"Computer Occupations, All Other",,83360,77910,43640,103220
1,36,New York State,15-2011,Actuaries,2570,157280,139240,79390,196220
1,36,New York State,15-2021,Mathematicians,,124310,106670,69600,151660
1,36,New York State,15-2031,Operations Research Analysts,6600,109800,95730,60050,134670
1,36,New York State,15-2041,Statisticians,1230,106520,100830,70160,124700
1,36,New York State,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",3950,126760,120710,69740,155270
1,36,New York State,17-0000,Architecture and Engineering Occupations,102230,92560,84580,56470,110600
1,36,New York State,17-1011,"Architects, Except Landscape and Naval",11640,103710,93220,64970,123080
1,36,New York State,17-1012,Landscape Architects,1250,91220,85970,57440,108120
1,36,New York State,17-1021,Cartographers and Photogrammetrists,,91870,90250,64690,105460
1,36,New York State,17-1022,Surveyors,1240,84020,77080,53250,99400
1,36,New York State,17-2011,Aerospace Engineers,300,114310,109330,77380,132770
1,36,New York State,17-2031,Biomedical Engineers,710,103430,100260,66830,121730
1,36,New York State,17-2041,Chemical Engineers,920,101230,97220,70630,116540
1,36,New York State,17-2051,Civil Engineers,14670,107350,95720,67570,127240
1,36,New York State,17-2061,Computer Hardware Engineers,1100,129080,125020,81600,152820
1,36,New York State,17-2071,Electrical Engineers,8170,107210,103560,71650,124990
1,36,New York State,17-2072,"Electronics Engineers, Except Computer",3560,104600,98340,71850,120980
1,36,New York State,17-2081,Environmental Engineers,3350,100030,92630,64990,117550
1,36,New York State,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1550,102700,99880,69770,119160
1,36,New York State,17-2112,Industrial Engineers,11580,96360,90780,67210,110930
1,36,New York State,17-2121,Marine Engineers and Naval Architects,,103900,95530,69080,121300
1,36,New York State,17-2131,Materials Engineers,790,100810,99330,66900,117760
1,36,New York State,17-2141,Mechanical Engineers,9920,98470,93060,65200,115110
1,36,New York State,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,91410,89520,71150,101550
1,36,New York State,17-2161,Nuclear Engineers,250,124340,122970,85560,143730
1,36,New York State,17-2199,"Engineers, All Other",4180,100930,98330,62910,119940
1,36,New York State,17-3011,Architectural and Civil Drafters,6970,64920,62630,48910,72920
1,36,New York State,17-3012,Electrical and Electronics Drafters,1130,78710,74860,47210,94470
1,36,New York State,17-3013,Mechanical Drafters,2260,63450,60270,42590,73880
1,36,New York State,17-3019,"Drafters, All Other",500,69530,66070,51200,78690
1,36,New York State,17-3021,Aerospace Engineering and Operations Technicians,,64090,64630,49090,71580
1,36,New York State,17-3022,Civil Engineering Technicians,1670,58640,56950,38680,68630
1,36,New York State,17-3023,Electrical and Electronic Engineering Technicians,5010,70290,67940,44920,82970
1,36,New York State,17-3024,Electro-Mechanical Technicians,370,66200,61680,45160,76720
1,36,New York State,17-3025,Environmental Engineering Technicians,610,56490,55650,39590,64940
1,36,New York State,17-3026,Industrial Engineering Technicians,2760,59580,58480,38990,69880
1,36,New York State,17-3027,Mechanical Engineering Technicians,1480,59390,57500,42920,67620
1,36,New York State,17-3031,Surveying and Mapping Technicians,1400,55360,53630,37790,64150
1,36,New York State,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",2290,61320,58150,42370,70790
1,36,New York State,19-0000,"Life, Physical, and Social Science Occupations",68430,82760,71430,45410,101430
1,36,New York State,19-1011,Animal Scientists,,74560,65540,55640,84020
1,36,New York State,19-1012,Food Scientists and Technologists,460,86690,82440,51260,104410
1,36,New York State,19-1013,Soil and Plant Scientists,,80790,64060,50270,96040
1,36,New York State,19-1021,Biochemists and Biophysicists,930,87010,68540,51010,105000
1,36,New York State,19-1022,Microbiologists,870,84840,78550,56400,99060
1,36,New York State,19-1023,Zoologists and Wildlife Biologists,340,83650,78760,59710,95620
1,36,New York State,19-1029,"Biological Scientists, All Other",790,94150,94870,65910,108270
1,36,New York State,19-1031,Conservation Scientists,450,77630,73050,49670,91600
1,36,New York State,19-1032,Foresters,280,70040,65700,55130,77490
1,36,New York State,19-1042,"Medical Scientists, Except Epidemiologists",8220,110290,88060,58090,136390
1,36,New York State,19-1099,"Life Scientists, All Other",,91660,78390,52490,111240
1,36,New York State,19-2012,Physicists,860,166610,157970,87730,206050
1,36,New York State,19-2021,Atmospheric and Space Scientists,350,110620,108910,62800,134530
1,36,New York State,19-2031,Chemists,3400,89450,78670,53630,107360
1,36,New York State,19-2032,Materials Scientists,300,98800,89950,56200,120090
1,36,New York State,19-2041,"Environmental Scientists and Specialists, Including Health",3700,84680,77510,51490,101280
1,36,New York State,19-2042,"Geoscientists, Except Hydrologists and Geographers",710,81290,76560,55510,94170
1,36,New York State,19-2043,Hydrologists,,91680,81270,53210,110920
1,36,New York State,19-2099,"Physical Scientists, All Other",1020,107180,101850,73050,124250
1,36,New York State,19-3011,Economists,850,153200,117590,76160,191720
1,36,New York State,19-3022,Survey Researchers,540,86530,86000,55850,101870
1,36,New York State,19-3031,"Clinical, Counseling, and School Psychologists",9900,99000,91560,59260,118870
1,36,New York State,19-3039,"Psychologists, All Other",500,101040,110410,59360,121880
1,36,New York State,19-3041,Sociologists,,74750,60110,46940,88660
1,36,New York State,19-3051,Urban and Regional Planners,1270,95230,81800,59520,113080
1,36,New York State,19-3091,Anthropologists and Archeologists,,94590,88030,57020,113380
1,36,New York State,19-3093,Historians,450,35540,30230,28680,38970
1,36,New York State,19-3094,Political Scientists,,125850,124390,90620,143460
1,36,New York State,19-3099,"Social Scientists and Related Workers, All Other",2480,97690,93470,67590,112740
1,36,New York State,19-4010,Agricultural and Food Science Technicians,550,45650,42300,32790,52080
1,36,New York State,19-4021,Biological Technicians,3960,51530,49560,36080,59260
1,36,New York State,19-4031,Chemical Technicians,2470,55740,52740,35470,65880
1,36,New York State,19-4042,"Environmental Science and Protection Technicians, Including Health",1470,55240,50690,35360,65180
1,36,New York State,19-4045,Geological and Hydrologic Technicians,,54770,51540,35550,64370
1,36,New York State,19-4051,Nuclear Technicians,,100280,112760,64850,117990
1,36,New York State,19-4061,Social Science Research Assistants,4730,51450,45990,32590,60880
1,36,New York State,19-4071,Forest and Conservation Technicians,450,49300,47590,37470,55210
1,36,New York State,19-4092,Forensic Science Technicians,910,70150,66790,54520,77960
1,36,New York State,19-4099,"Life, Physical, and Social Science Technicians, All Other",8620,59400,57770,39490,69350
1,36,New York State,19-5011,Occupational Health and Safety Specialists,4050,79900,78340,51720,93990
1,36,New York State,19-5012,Occupational Health and Safety Technicians,1050,62440,60970,46860,70240
1,36,New York State,21-0000,Community and Social Service Occupations,190990,57650,52700,35160,68890
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",25560,71170,64490,41930,85790
1,36,New York State,21-1013,Marriage and Family Therapists,1380,53050,56550,31980,63580
1,36,New York State,21-1015,Rehabilitation Counselors,8590,38820,34130,27830,44310
1,36,New York State,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",16340,58370,54270,37120,68990
1,36,New York State,21-1019,"Counselors, All Other",350,62730,51590,32870,77660
1,36,New York State,21-1021,"Child, Family, and School Social Workers",25840,65040,59960,42960,76080
1,36,New York State,21-1022,Healthcare Social Workers,18290,62760,59230,42520,72880
1,36,New York State,21-1023,Mental Health and Substance Abuse Social Workers,11020,66060,62910,43770,77210
1,36,New York State,21-1029,"Social Workers, All Other",4000,73670,74470,54670,83180
1,36,New York State,21-1091,Health Educators,4190,59000,55910,39380,68820
1,36,New York State,21-1092,Probation Officers and Correctional Treatment Specialists,4870,73570,73670,55130,82790
1,36,New York State,21-1093,Social and Human Service Assistants,38300,40760,38540,29890,46190
1,36,New York State,21-1094,Community Health Workers,7300,47060,43230,33160,54010
1,36,New York State,21-1099,"Community and Social Service Specialists, All Other",12600,60920,58500,44940,68920
1,36,New York State,21-2011,Clergy,7090,58280,52640,32370,71230
1,36,New York State,21-2021,"Directors, Religious Activities and Education",4590,52270,44540,29520,63650
1,36,New York State,21-2099,"Religious Workers, All Other",690,38980,30720,26000,45680
1,36,New York State,23-0000,Legal Occupations,113570,145090,114780,57990,188640
1,36,New York State,23-1011,Lawyers,76660,177590,157270,83140,224810
1,36,New York State,23-1012,Judicial Law Clerks,720,130170,138280,85060,152720
1,36,New York State,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1540,109670,108800,80270,124380
1,36,New York State,23-1022,"Arbitrators, Mediators, and Conciliators",510,85730,84070,46390,105410
1,36,New York State,23-1023,"Judges, Magistrate Judges, and Magistrates",3410,171180,170390,130990,191270
1,36,New York State,23-2011,Paralegals and Legal Assistants,27540,63800,58660,39840,75780
1,36,New York State,23-2093,"Title Examiners, Abstractors, and Searchers",1360,67720,66950,41220,80970
1,36,New York State,23-2099,"Legal Support Workers, All Other",1830,68140,60860,40470,81970
1,36,New York State,25-0000,"Education, Training, and Library Occupations",669080,77940,66660,34390,99710
1,36,New York State,25-1011,"Business Teachers, Postsecondary",9030,123190,103130,52390,158590
1,36,New York State,25-1021,"Computer Science Teachers, Postsecondary",3420,117340,105040,58930,146540
1,36,New York State,25-1022,"Mathematical Science Teachers, Postsecondary",4560,114210,101070,54090,144280
1,36,New York State,25-1031,"Architecture Teachers, Postsecondary",900,140220,128840,82020,169320
1,36,New York State,25-1032,"Engineering Teachers, Postsecondary",3030,129340,114980,77830,155090
1,36,New York State,25-1041,"Agricultural Sciences Teachers, Postsecondary",490,117410,109160,65380,143430
1,36,New York State,25-1042,"Biological Science Teachers, Postsecondary",4620,122390,112390,63020,152080
1,36,New York State,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",,70200,65050,51440,79590
1,36,New York State,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2370,120450,110560,62870,149240
1,36,New York State,25-1052,"Chemistry Teachers, Postsecondary",2360,113740,100500,60030,140590
1,36,New York State,25-1053,"Environmental Science Teachers, Postsecondary",590,106970,88840,52740,134080
1,36,New York State,25-1054,"Physics Teachers, Postsecondary",1380,125310,111140,68520,153710
1,36,New York State,25-1061,"Anthropology and Archeology Teachers, Postsecondary",740,124210,112830,71010,150810
1,36,New York State,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1630,113650,99040,61070,139940
1,36,New York State,25-1063,"Economics Teachers, Postsecondary",2050,140070,129590,73890,173160
1,36,New York State,25-1064,"Geography Teachers, Postsecondary",,93810,88910,61340,110050
1,36,New York State,25-1065,"Political Science Teachers, Postsecondary",1510,134920,115010,67260,168750
1,36,New York State,25-1066,"Psychology Teachers, Postsecondary",4070,108740,96270,56030,135090
1,36,New York State,25-1067,"Sociology Teachers, Postsecondary",1680,113870,103150,53720,143950
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",3660,108810,99000,51490,137470
1,36,New York State,25-1071,"Health Specialties Teachers, Postsecondary",23350,141940,125250,66420,179700
1,36,New York State,25-1072,"Nursing Instructors and Teachers, Postsecondary",5100,100860,94020,51410,125580
1,36,New York State,25-1081,"Education Teachers, Postsecondary",6120,96940,83850,43660,123580
1,36,New York State,25-1082,"Library Science Teachers, Postsecondary",,108290,101780,69380,127740
1,36,New York State,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1490,88090,65810,40880,111700
1,36,New York State,25-1112,"Law Teachers, Postsecondary",2570,145850,128180,54240,191650
1,36,New York State,25-1113,"Social Work Teachers, Postsecondary",2340,103430,95250,60140,125070
1,36,New York State,25-1121,"Art, Drama, and Music Teachers, Postsecondary",10300,113040,98010,53300,142920
1,36,New York State,25-1122,"Communications Teachers, Postsecondary",3200,101630,88140,52580,126160
1,36,New York State,25-1123,"English Language and Literature Teachers, Postsecondary",8170,109510,98300,53650,137440
1,36,New York State,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1910,99380,90030,48750,124690
1,36,New York State,25-1125,"History Teachers, Postsecondary",2220,102840,92620,49710,129410
1,36,New York State,25-1126,"Philosophy and Religion Teachers, Postsecondary",2730,95990,81110,48830,119560
1,36,New York State,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",890,84700,70210,44410,104840
1,36,New York State,25-1194,"Vocational Education Teachers, Postsecondary",4230,79000,67510,42860,97070
1,36,New York State,25-1199,"Postsecondary Teachers, All Other",4810,129120,110220,53630,166870
1,36,New York State,25-2011,"Preschool Teachers, Except Special Education",21750,45660,40650,29070,53960
1,36,New York State,25-2012,"Kindergarten Teachers, Except Special Education",6950,81270,75580,46800,98500
1,36,New York State,25-2021,"Elementary School Teachers, Except Special Education",92700,86090,81670,50190,104040
1,36,New York State,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",42380,90950,87100,57190,107840
1,36,New York State,25-2023,"Career/Technical  Education Teachers, Middle School",1420,85710,81170,53770,101680
1,36,New York State,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",67810,90690,87980,56760,107650
1,36,New York State,25-2032,"Career/Technical Education Teachers, Secondary School",4740,80480,76810,53410,94010
1,36,New York State,25-2051,"Special Education Teachers, Preschool",4730,93620,82650,51930,114470
1,36,New York State,25-2052,"Special Education Teachers, Kindergarten and Elementary School",21850,80300,76040,51040,94940
1,36,New York State,25-2057,"Special Education Teachers, Middle School",9220,92800,89150,63090,107660
1,36,New York State,25-2058,"Special Education Teachers, Secondary School",15150,86080,81900,58150,100050
1,36,New York State,25-2059,"Special Education Teachers, All Other",2300,94520,82190,49400,117090
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,3950,70330,66610,46140,82420
1,36,New York State,25-3021,Self-Enrichment Education Teachers,28170,74040,54390,32400,94860
1,36,New York State,25-3031,"Substitute Teachers, Short-Term",29780,41950,37100,27990,48930
1,36,New York State,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",18570,66880,42970,29590,85530
1,36,New York State,25-4011,Archivists,560,67880,65210,44100,79770
1,36,New York State,25-4012,Curators,1380,74030,64860,42710,89690
1,36,New York State,25-4013,Museum Technicians and Conservators,1090,63490,60390,39970,75250
1,36,New York State,25-4022,Librarians and Media Collections Specialists,11370,75180,71120,49930,87800
1,36,New York State,25-4031,Library Technicians,6870,38440,34370,26780,44280
1,36,New York State,25-9021,Farm and Home Management Advisors,,51500,48500,40640,56930
1,36,New York State,25-9031,Instructional Coordinators,19270,79800,78090,50150,94630
1,36,New York State,25-9045,"Teaching Assistants, Except Postsecondary",118060,35100,31560,26210,39550
1,36,New York State,25-9099,"Education, Training, and Library Workers, All Other",1200,58190,55540,36720,68930
1,36,New York State,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",200040,88780,72130,40760,112780
1,36,New York State,27-1011,Art Directors,7670,145090,120640,76150,179570
1,36,New York State,27-1012,Craft Artists,,40970,38500,33500,44700
1,36,New York State,27-1014,Multimedia Artists and Animators,2000,100770,95950,61540,120380
1,36,New York State,27-1019,"Artists and Related Workers, All Other",,98790,76200,46210,125080
1,36,New York State,27-1021,Commercial and Industrial Designers,1870,87500,77820,52360,105070
1,36,New York State,27-1022,Fashion Designers,8100,93550,78580,50320,115170
1,36,New York State,27-1023,Floral Designers,1690,35150,31560,27540,38960
1,36,New York State,27-1024,Graphic Designers,18910,69640,64510,41130,83900
1,36,New York State,27-1025,Interior Designers,4490,72690,69590,44380,86840
1,36,New York State,27-1026,Merchandise Displayers and Window Trimmers,6110,42070,36770,28490,48850
1,36,New York State,27-1027,Set and Exhibit Designers,2060,86450,87350,45760,106790
1,36,New York State,27-1029,"Designers, All Other",740,74290,71800,40210,91330
1,36,New York State,27-2012,Producers and Directors,24330,124660,105910,53210,160380
1,36,New York State,27-2021,Athletes and Sports Competitors,,97580,65150,34110,129320
1,36,New York State,27-2022,Coaches and Scouts,10900,55610,46680,30470,68190
1,36,New York State,27-2032,Choreographers,,99150,52800,45150,126150
1,36,New York State,27-2041,Music Directors and Composers,2070,83170,59860,31030,109240
1,36,New York State,27-3011,Radio and Television Announcers,1530,85100,51370,30390,112450
1,36,New York State,27-3023,"News Analysts, Reporters, and Journalist",5790,92280,81960,41960,117440
1,36,New York State,27-3031,Public Relations Specialists,27120,81320,70570,43900,100020
1,36,New York State,27-3041,Editors,19660,95450,81090,48700,118820
1,36,New York State,27-3042,Technical Writers,1540,85930,78910,53090,102340
1,36,New York State,27-3043,Writers and Authors,6700,97820,78600,51770,120850
1,36,New York State,27-3091,Interpreters and Translators,3240,72670,69230,45620,86200
1,36,New York State,27-3092,Court Reporters and Simultaneous Captioners,1210,98600,106080,58250,118780
1,36,New York State,27-3099,"Media and Communication Workers, All Other",980,71150,62540,32580,90430
1,36,New York State,27-4011,Audio and Video Equipment Technicians,6250,63240,57380,37590,76060
1,36,New York State,27-4012,Broadcast Technicians,4480,59450,54990,35380,71480
1,36,New York State,27-4014,Sound Engineering Technicians,1380,81650,64720,35210,104870
1,36,New York State,27-4021,Photographers,3710,74600,62040,34970,94410
1,36,New York State,27-4031,"Camera Operators, Television, Video, and Motion Picture",3180,111530,111810,52920,140830
1,36,New York State,27-4032,Film and Video Editors,2880,100400,87940,48200,126500
1,36,New York State,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",,80270,74770,39230,100790
1,36,New York State,29-0000,Healthcare Practitioners and Technical Occupations,531520,97810,83680,49400,122020
1,36,New York State,29-1011,Chiropractors,1660,86960,80140,60490,100190
1,36,New York State,29-1021,"Dentists, General",6270,173800,155150,104530,208440
1,36,New York State,29-1022,Oral and Maxillofacial Surgeons,300,232250,,123100,286830
1,36,New York State,29-1023,Orthodontists,280,203980,144160,112300,249830
1,36,New York State,29-1029,"Dentists, All Other Specialists",260,210470,208930,101790,264810
1,36,New York State,29-1031,Dietitians and Nutritionists,4450,71490,71560,53820,80330
1,36,New York State,29-1041,Optometrists,1610,142240,132640,99800,163450
1,36,New York State,29-1051,Pharmacists,19460,123600,126840,87180,141820
1,36,New York State,29-1071,Physician Assistants,13760,128940,127220,100250,143280
1,36,New York State,29-1081,Podiatrists,1050,182140,154680,91580,227420
1,36,New York State,29-1122,Occupational Therapists,10560,93010,86480,66770,106140
1,36,New York State,29-1123,Physical Therapists,16150,94740,93630,70960,106630
1,36,New York State,29-1124,Radiation Therapists,1320,122910,107100,76330,146200
1,36,New York State,29-1125,Recreational Therapists,1430,59190,57640,42710,67430
1,36,New York State,29-1126,Respiratory Therapists,6040,81460,82030,64690,89850
1,36,New York State,29-1127,Speech-Language Pathologists,12950,100000,91670,63800,118100
1,36,New York State,29-1128,Exercise Physiologists,,70130,64990,43460,83470
1,36,New York State,29-1129,"Therapists, All Other",940,65870,62630,47000,75300
1,36,New York State,29-1131,Veterinarians,3530,123290,113630,71770,149050
1,36,New York State,29-1141,Registered Nurses,178550,91580,91660,64820,104970
1,36,New York State,29-1151,Nurse Anesthetists,1920,221460,204160,161400,251490
1,36,New York State,29-1161,Nurse Midwives,460,128330,121670,94850,145060
1,36,New York State,29-1171,Nurse Practitioners,14850,129000,126540,94880,146060
1,36,New York State,29-1181,Audiologists,760,87310,82700,71560,95190
1,36,New York State,29-1211,Anesthesiologists,2260,242190,,102780,311900
1,36,New York State,29-1215,Family Medicine Physicians,4170,204230,195060,115880,248410
1,36,New York State,29-1216,General Internal Medicine Physicians,8750,174840,142710,71600,226460
1,36,New York State,29-1218,Obstetricians and Gynecologists,1830,218840,,92700,281910
1,36,New York State,29-1221,"Pediatricians, General",3440,174190,164050,95900,213330
1,36,New York State,29-1223,Psychiatrists,4040,200260,199690,85080,257850
1,36,New York State,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",30090,208440,,76710,274300
1,36,New York State,29-1248,"Surgeons, Except Ophthalmologists",2960,217490,,78670,286900
1,36,New York State,29-1292,Dental Hygienists,9190,78450,78510,60390,87480
1,36,New York State,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",2360,86470,71850,48570,105420
1,36,New York State,29-2010,Clinical Laboratory Technologists and Technicians,17470,70020,70790,44500,82780
1,36,New York State,29-2031,Cardiovascular Technologists and Technicians,3360,69340,67150,44400,81810
1,36,New York State,29-2032,Diagnostic Medical Sonographers,5970,81420,81880,62620,90820
1,36,New York State,29-2033,Nuclear Medicine Technologists,870,91840,93250,73520,101000
1,36,New York State,29-2034,Radiologic Technologists,12170,74640,75050,53410,85250
1,36,New York State,29-2035,Magnetic Resonance Imaging Technologists,2140,90600,92330,69860,100980
1,36,New York State,29-2040,Emergency Medical Technicians and Paramedics,19620,47870,45110,32180,55720
1,36,New York State,29-2051,Dietetic Technicians,1060,42840,41530,31370,48570
1,36,New York State,29-2052,Pharmacy Technicians,18970,37860,35760,28150,42710
1,36,New York State,29-2053,Psychiatric Technicians,2540,42700,44180,29260,49420
1,36,New York State,29-2055,Surgical Technologists,5510,60580,59260,43700,69020
1,36,New York State,29-2056,Veterinary Technologists and Technicians,4350,44670,43590,33970,50020
1,36,New York State,29-2057,Ophthalmic Medical Technicians,4150,39550,36540,26680,45980
1,36,New York State,29-2061,Licensed Practical and Licensed Vocational Nurses,44440,52340,52140,41810,57610
1,36,New York State,29-2081,"Opticians, Dispensing",3100,54200,55660,36190,63210
1,36,New York State,29-2091,Orthotists and Prosthetists,330,80570,80940,47240,97240
1,36,New York State,29-2092,Hearing Aid Specialists,,54550,49220,38880,62380
